activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2021,549300WTZMQSET2VY242,99999,OK,40011,40011958700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,2,1,1,1,2,2,2,65000.0,95.0,3.625,2.03,2,3367.13,,1494.13,,,360,,,2,2,2,2,65000.0,1,1,3,5,1,,35,42,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,<25,9999,No,,1,1,1,,,,,10,,,,1279,14.23,58100,101,450,1026,41
2021,549300WTZMQSET2VY242,36420,OK,40017,40017300201,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,1,1,1,2,2,2,445000.0,95.0,3.125,0.34,2,3281.0,,1031.0,,,360,,,2,2,2,2,465000.0,1,1,3,5,1,,96,44,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,5785,13.66,73100,119,1713,2000,21
2021,549300WTZMQSET2VY242,36420,OK,40017,40017301008,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,2,1,31,1,2,2,2,205000.0,64.19,3.375,0.433,2,3735.0,,1031.0,,,300,,,2,2,2,2,325000.0,1,1,3,5,1,,100,38,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,Yes,,1,1,1,,,,,10,,,,6872,31.0,73100,156,1634,1997,13
2021,549300WTZMQSET2VY242,36420,OK,40017,40017300904,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Joint,1,0,2,2,1,1,2,2,2,205000.0,96.5,4.5,2.572,3,,,1511.0,,1765.3,360,,,2,2,2,2,205000.0,1,1,3,5,1,,61,37,9,3,2,,,,,2,,,,,2,2,1,5.0,,,,1,,,,,2,2,2,1,2,2,<25,<25,No,No,1,1,3,,,,,10,,,,3527,30.9,73100,90,1035,1380,22
2021,549300WTZMQSET2VY242,36420,OK,40027,40027201203,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,2,1,1,1,2,2,2,75000.0,56.204,3.25,0.629,3,2916.0,,1031.0,,,360,,,2,2,2,2,135000.0,1,3,3,5,1,,160,40,9,1,3,,,,,2,,,,,2,2,6,,,,,5,,,,,2,2,3,1,2,2,45-54,35-44,No,No,1,1,1,,,,,10,,,,5391,34.76,73100,77,727,1024,22
2021,549300WTZMQSET2VY242,30020,OK,40031,40031002005,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Female,1,1,2,1,32,1,2,2,2,75000.0,80.0,3.75,0.99,2,3358.0,,901.0,,112.7,300,,,2,2,2,2,85000.0,1,1,3,5,1,,41,44,1,10,1,,,,,5,,,,,2,4,2,5.0,23.0,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,5861,51.19,65700,99,577,902,38
2021,549300WTZMQSET2VY242,46140,OK,40037,40037020707,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,31,1,2,2,2,235000.0,84.085,3.75,1.481,2,7337.17,,1090.0,,139.88,360,,,2,2,2,2,275000.0,1,1,3,5,1,,82,39,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,3,,,,,10,,,,1884,20.44,73000,101,606,811,23
2021,549300WTZMQSET2VY242,46140,OK,40037,40037020900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,215000.0,95.0,3.25,0.528,2,3270.0,,1031.0,,0.25,360,,,2,2,2,2,225000.0,1,1,3,5,1,,112,46,9,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,35-44,No,No,1,1,1,,,,,10,,,,2973,20.18,73000,93,780,1241,41
2021,549300WTZMQSET2VY242,46140,OK,40037,40037020900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,3,2,1,1,1,2,2,2,75000.0,95.0,3.25,0.584,2,4035.24,,1734.24,644.24,181.98,360,,,2,2,2,2,85000.0,1,1,3,5,1,,46,48,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,,1,1,1,,,,,10,,,,2973,20.18,73000,93,780,1241,41
2021,549300WTZMQSET2VY242,21420,OK,40047,40047001500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,1,31,1,2,2,2,195000.0,87.067,2.625,0.486,2,2447.0,,1031.0,,,180,,,2,2,2,2,225000.0,1,1,3,5,1,,173,<20%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,2,,,,,10,,,,7254,43.67,69300,76,1544,2623,54
2021,549300WTZMQSET2VY242,36420,OK,40051,40051000400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,3,2,1,1,1,2,2,2,115000.0,75.0,3.0,0.333,2,3302.25,,1147.25,116.25,,360,,,2,2,2,2,155000.0,1,1,3,5,1,,46,42,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,1,,,,,10,,,,3751,22.42,73100,66,847,1554,65
2021,549300WTZMQSET2VY242,99999,OK,40071,40071001100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,3,2,1,1,1,2,2,2,55000.0,66.667,3.25,0.45,2,3168.5,,1068.5,37.5,658.2,360,,,2,2,2,2,75000.0,1,1,3,5,1,,37,20%-<30%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,3986,25.11,58100,107,1010,1694,64
2021,549300WTZMQSET2VY242,99999,OK,40085,40085094200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,185000.0,80.0,3.25,0.393,2,3513.0,,1031.0,,65.0,360,,,2,2,2,2,225000.0,1,1,3,5,1,,37,48,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,1,,,,,10,,,,4889,22.56,58100,110,1389,2189,30
2021,549300WTZMQSET2VY242,99999,OK,40101,40101000802,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,175000.0,96.5,4.5,2.827,2,8056.65,,2765.34,1675.34,176.9,360,,,2,2,2,2,175000.0,1,1,3,5,1,,70,43,9,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,3,,,,,10,,,,2778,40.96,58100,152,630,790,38
